ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3684
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
394 19.453 8.28947 0.554921 0.0135623 0.46 
395 20.7994 3.25638 0.517077 0.0182967 0.46 
396 4.63256 1.71082 0.501925 0.0206629 0.46 
397 13.9766 4.55278 0.550787 0.00731664 0.46 
398 2.46318 1.78671 0.428725 0.0421787 0.46 
399 17.3725 2.87767 0.555936 -0.0402921 0.46 
400 3.54919 0.183531 0.252712 -0.00657187 0.46 
401 9.41183 3.6313 0.508421 -0.0254468 0.46 
402 22.473 8.87199 0.550397 0.0191291 0.46 
403 27.912 1.09327 0.38611 -0.0236082 0.46 
404 10.7492 8.67819 0.543849 -0.0121776 0.46 
405 10.953 21.3864 0.301839 -0.0537731 0.46 
406 5.49987 18.4211 0.463187 0.00240273 0.46 
407 8.21596 12.6702 0.535876 0.00624204 0.46 
408 11.8958 0.168452 0.179744 -0.00851077 0.46 
409 22.2742 20.6809 0.273406 -0.0149947 0.46 
410 2.98094 8.33052 0.546038 0.0120507 0.46 
411 10.354 13.3652 0.538701 -0.00266921 0.46 
412 5.54282 14.09 0.537093 0.0137648 0.46 
413 14.7564 0.534363 0.258633 -0.00293759 0.46 
414 22.0712 13.8981 0.560355 0.0128597 0.46 
415 21.7036 2.1001 0.365293 -0.0135437 0.46 
416 19.7704 13.4043 0.558275 -0.00800771 0.46 
417 27.9225 19.105 0.4719 0.0851636 0.46 
418 21.2947 2.10662 0.389445 0.0122283 0.46 
419 7.97534 20.3107 0.33126 -0.00836325 0.46 
420 14.3606 17.5721 0.52539 0.0298688 0.46 
421 11.9243 9.27773 0.537634 -0.0282449 0.46 
422 6.6241 18.2153 0.483578 0.0213603 0.46 
423 21.3394 9.0348 0.552571 0.0150624 0.46 
424 1.42904 8.388 0.546126 0.014109 0.46 
425 19.6523 19.4293 0.320104 0.0425616 0.46 
426 20.1765 10.504 0.556866 0.00821881 0.46 
427 24.5574 9.12655 0.549739 0.0183284 0.46 
428 16.573 6.21351 0.55709 -0.0129186 0.46 
429 9.67087 6.65645 0.529569 -0.00992025 0.46 
430 26.7785 16.5576 0.513502 0.0596356 0.46 
431 3.97946 14.1029 0.54101 0.011143 0.46 
432 16.083 14.4999 0.51953 -0.0216996 0.46 
433 2.26738 10.9422 0.546746 0.0179119 0.46 
434 23.6676 18.3696 0.451592 0.016182 0.46 
435 0.00964951 8.85339 0.545552 0.0177914 0.46 
436 17.7431 9.62773 0.547266 -0.00526919 0.46 
437 17.6094 21.084 0.233376 0.0174247 0.46 
438 15.5507 16.4458 0.512209 -0.0225068 0.46 
439 9.14596 5.00887 0.516307 -0.0177668 0.46 
440 2.71562 5.43096 0.512964 0.00616075 0.46 
441 4.39391 11.3678 0.542551 0.013676 0.46 
442 22.4019 21.82 0.186368 -0.000337472 0.46 
443 1.78821 3.69573 0.502493 0.00807581 0.46 
444 1.92276 5.76201 0.515347 0.00743312 0.46 
445 25.4223 14.3436 0.535133 0.0314945 0.46 
446 8.57305 19.8522 0.460865 0.0209785 0.46 
447 19.3477 16.6738 0.526266 -0.041021 0.46 
448 27.9123 13.3869 0.534856 0.0318908 0.46 
449 1.8484 13.6853 0.52837 -0.00059908 0.46 
450 5.13816 5.86508 0.524632 -0.0080294 0.46 
451 5.37239 7.72895 0.521003 -0.015234 0.46 
452 21.481 13.4344 0.556228 -0.0114868 0.46 
453 3.64418 17.0001 0.507979 -0.0203813 0.46 
454 26.1864 8.03388 0.539614 0.0214858 0.46 
455 4.65079 8.69898 0.548794 0.00775212 0.46 
456 24.4019 15.1525 0.571583 0.0516576 0.46 
457 12.8564 11.7548 0.541706 -0.00585309 0.46 
458 18.2817 10.642 0.552653 -0.00182064 0.46 
459 15.679 12.2106 0.540178 -0.0137506 0.46 
460 19.7854 10.7041 0.556532 0.00530455 0.46 
461 24.4712 19.8739 0.334274 0.0381688 0.46 
462 1.32362 21.8107 0.219396 -0.00249837 0.46 
463 17.0193 18.8703 0.522598 -0.0629356 0.46 
464 6.42281 15.1202 0.526118 0.0317428 0.46 
465 26.7594 3.17159 0.51118 0.0231253 0.46 
466 14.7186 21.4315 0.248458 0.0240854 0.46 
467 4.15439 0.959287 0.388504 0.013515 0.46 
468 15.2913 10.6895 0.542625 -0.0108717 0.46 
469 1.84966 9.66205 0.547442 0.0155916 0.46 
470 21.3532 8.59368 0.550289 0.014842 0.46 
471 10.6063 14.8474 0.528111 0.00295035 0.46 
472 6.71826 6.96613 0.520605 -0.0110917 0.46 
473 2.94956 20.6432 0.298016 -0.0250338 0.46 
474 14.6438 4.21899 0.551099 0.00147087 0.46 
