ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3689
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
359 22.9783 3.15516 0.61091 0.0128053 0.46 
360 10.9697 5.05458 0.735299 -0.0132503 0.46 
361 15.3085 2.37911 0.510585 0.0219794 0.46 
362 2.27035 17.8678 0.701923 0.0436183 0.46 
363 13.7725 12.7347 0.785176 -0.0162963 0.46 
364 26.3229 5.82797 0.741715 -0.0178339 0.46 
365 1.08156 14.8397 0.778258 0.0199454 0.46 
366 20.344 12.8686 0.789176 -0.00905245 0.46 
367 5.83788 15.5004 0.763473 0.0198181 0.46 
368 11.296 18.8404 0.631984 0.0406091 0.46 
369 27.3755 4.20474 0.714411 0.0215935 0.46 
370 4.88541 21.8498 0.065763 0.00548438 0.46 
371 21.3981 3.42175 0.63952 0.0195525 0.46 
372 13.9207 4.90392 0.742967 -0.0249319 0.46 
373 11.2729 20.6115 0.352716 -0.0153111 0.46 
374 2.89431 10.5948 0.800869 0.0326304 0.46 
375 0.085807 4.64345 0.724872 -0.00541063 0.46 
376 2.19873 4.56249 0.718619 0.050382 0.46 
377 16.6852 13.3151 0.785011 -0.0215094 0.46 
378 22.846 20.0636 0.524689 -0.0252062 0.46 
379 22.6106 17.5755 0.678102 0.00826362 0.46 
380 21.9917 16.1695 0.749401 -0.0109993 0.46 
381 19.1055 14.9707 0.768426 -0.0132236 0.46 
382 2.66025 4.60246 0.71521 0.0366921 0.46 
383 13.9808 19.8745 0.52383 0.0234452 0.46 
384 4.95609 15.6079 0.760522 0.00211561 0.46 
385 14.1844 3.68652 0.682614 -0.0207894 0.46 
386 20.4163 7.73345 0.754039 -0.0271665 0.46 
387 25.0337 12.7332 0.797731 0.00807749 0.46 
388 19.2461 10.3699 0.797195 -0.023801 0.46 
389 13.8033 9.92841 0.789459 -0.00308877 0.46 
390 3.29643 6.00414 0.74656 0.0287034 0.46 
391 10.5964 16.6252 0.769129 0.0275224 0.46 
392 15.2258 6.50793 0.758154 0.0014906 0.46 
393 19.1571 7.60837 0.772511 -0.0317888 0.46 
394 26.5478 8.12944 0.785174 0.00662913 0.46 
395 23.4215 3.24759 0.601557 -0.0044018 0.46 
396 7.93378 2.74776 0.561011 0.00132716 0.46 
397 19.6583 4.8654 0.713938 -0.0203339 0.46 
398 4.77795 2.20454 0.542605 -0.014638 0.46 
399 18.6015 1.98663 0.462712 -0.0538225 0.46 
400 4.33464 0.551746 0.183849 0.0015276 0.46 
401 11.1146 2.63783 0.554682 0.000774743 0.46 
402 1.71495 8.7388 0.791392 0.0297905 0.46 
403 1.22319 1.36113 0.364782 0.0239439 0.46 
404 17.7215 8.50744 0.789895 -0.0110417 0.46 
405 8.83755 21.4412 0.237323 -0.00802358 0.46 
406 9.3495 18.4119 0.692904 0.0157973 0.46 
407 14.917 12.6825 0.787587 -0.014476 0.46 
408 9.31671 0.147597 0.0817335 -0.0146655 0.46 
409 22.3555 20.665 0.359204 -0.0370689 0.46 
410 9.70851 8.69078 0.785008 0.00321457 0.46 
411 17.111 13.5057 0.785849 -0.0204559 0.46 
412 12.4235 14.0671 0.777053 0.00246646 0.46 
413 15.7595 0.998889 0.295292 0.0276289 0.46 
414 0.373661 13.9645 0.79 0.0112843 0.46 
415 23.7102 2.1017 0.485622 0.028171 0.46 
416 26.517 13.2571 0.799072 -6.17779e-05 0.46 
417 1.85104 19.4362 0.56086 0.0475048 0.46 
418 23.2928 2.10208 0.471902 -0.0186615 0.46 
419 8.95254 20.2302 0.485773 0.0150901 0.46 
420 18.9342 17.688 0.695083 0.00984618 0.46 
421 19.0849 9.48473 0.799825 -0.0304965 0.46 
422 10.6375 18.0458 0.710335 0.0184236 0.46 
423 0.674498 8.8675 0.799675 0.0229399 0.46 
424 8.50369 8.6139 0.782879 0.0176165 0.46 
425 20.5555 19.5636 0.583041 0.0132686 0.46 
426 27.1881 10.1017 0.791743 0.00656645 0.46 
427 3.33646 9.09617 0.793296 0.0361626 0.46 
428 23.0911 6.84221 0.763609 0.00306696 0.46 
429 16.3177 6.04688 0.767433 0.0165611 0.46 
